# SAXS profile: number of points = 380, q_min = 0.0151024, q_max = 0.361593, delta_q = 0.000914223218997361
# offset = 0.00000000000000, scaling c = 0.000391821599637437, Chi = 1.13023685931554
#  q       exp_intensity   model_intensity
0.01510    150.50000000    151.72928027   
0.01602    151.64400000    151.25293465   
0.01693    152.26700000    150.77422844   
0.01785    152.45100000    150.24518165   
0.01876    151.70000000    149.68898736   
0.01967    150.32400000    149.10790169   
0.02059    149.23000000    148.50236200   
0.02150    150.06000000    147.87265133   
0.02242    147.45200000    147.21909656   
0.02333    146.00400000    146.54228511   
0.02424    144.47200000    145.84252752   
0.02516    142.63300000    145.12032907   
0.02607    142.77800000    144.37596988   
0.02699    144.17400000    143.60977677   
0.02790    143.62400000    142.82052915   
0.02882    142.74500000    142.03275527   
0.02973    140.15600000    141.20776893   
0.03064    139.45300000    140.35808079   
0.03156    139.00700000    139.48929513   
0.03247    137.54700000    138.60195497   
0.03339    137.11200000    137.69658079   
0.03430    136.34900000    136.77350841   
0.03522    135.78700000    135.83351685   
0.03613    134.14000000    134.88028913   
0.03704    133.87100000    133.93021701   
0.03796    132.99100000    132.94136881   
0.03887    131.38600000    131.93708917   
0.03979    131.67400000    130.91854094   
0.04070    130.42400000    129.88643924   
0.04161    128.80400000    128.84126326   
0.04253    128.54100000    127.78358883   
0.04344    126.74900000    126.72470575   
0.04436    125.36200000    125.65729173   
0.04527    124.68400000    124.56542066   
0.04619    123.03000000    123.46334502   
0.04710    122.09300000    122.35144289   
0.04801    120.61800000    121.23066452   
0.04893    118.38200000    120.10064842   
0.04984    117.55100000    118.98195576   
0.05076    116.14500000    117.84019483   
0.05167    115.79600000    116.68792500   
0.05259    115.82900000    115.52968263   
0.05350    114.07600000    114.36592494   
0.05441    112.67700000    113.20620142   
0.05533    110.85500000    112.04549662   
0.05624    109.95100000    110.86798033   
0.05716    109.77000000    109.68713854   
0.05807    108.16300000    108.50336926   
0.05899    107.03500000    107.31715032   
0.05990    106.33900000    106.14762582   
0.06081    105.37400000    104.96016236   
0.06173    103.95200000    103.76988406   
0.06264    101.86100000    102.57951735   
0.06356    100.73700000    101.38911212   
0.06447    99.31280000     100.20877025   
0.06538    98.79490000     99.03076744    
0.06630    97.36380000     97.84381929    
0.06721    96.60700000     96.65893810    
0.06813    95.76850000     95.47895507    
0.06904    94.11600000     94.31600320    
0.06996    93.35510000     93.14006225    
0.07087    92.14160000     91.96809945    
0.07178    90.81980000     90.80036751    
0.07270    88.96600000     89.64987065    
0.07361    88.81350000     88.49722807    
0.07453    88.19390000     87.34455302    
0.07544    86.99540000     86.20509888    
0.07636    86.06960000     85.07353648    
0.07727    84.61330000     83.93894384    
0.07818    83.39280000     82.81107773    
0.07910    82.41860000     81.69167374    
0.08001    81.10990000     80.59272955    
0.08093    80.25820000     79.48741945    
0.08184    80.02670000     78.39016277    
0.08275    78.90550000     77.31284784    
0.08367    77.62720000     76.23590898    
0.08458    75.89490000     75.16375669    
0.08550    74.28640000     74.10793530    
0.08641    72.63220000     73.06125021    
0.08733    71.37260000     72.01646540    
0.08824    70.42500000     70.98119374    
0.08915    69.95280000     69.95776885    
0.09007    68.53590000     68.95390419    
0.09098    66.99280000     67.94820739    
0.09190    66.54080000     66.95363712    
0.09281    65.69820000     65.98031334    
0.09373    64.21930000     65.00890995    
0.09464    64.01040000     64.04550797    
0.09555    63.21280000     63.09990164    
0.09647    61.89310000     62.16367686    
0.09738    61.06520000     61.23715573    
0.09830    60.41230000     60.32449192    
0.09921    59.66330000     59.41511190    
0.10013    59.12730000     58.51809815    
0.10104    59.25720000     57.64132388    
0.10195    58.73720000     56.76573329    
0.10287    57.02710000     55.90100013    
0.10378    55.15900000     55.05705390    
0.10470    54.09890000     54.21788894    
0.10561    53.55340000     53.39407833    
0.10652    53.26160000     52.57794337    
0.10744    52.07980000     51.76951013    
0.10835    51.10180000     50.97594780    
0.10927    50.14090000     50.19650423    
0.11018    50.12620000     49.42301542    
0.11110    49.71870000     48.66606345    
0.11201    48.05710000     47.91263821    
0.11292    47.82590000     47.17107550    
0.11384    47.48690000     46.44850099    
0.11475    46.79970000     45.72924940    
0.11567    46.04760000     45.02605027    
0.11658    45.22300000     44.33030826    
0.11750    44.51950000     43.64194069    
0.11841    43.30750000     42.96760234    
0.11932    42.08680000     42.30444944    
0.12024    41.35780000     41.64902443    
0.12115    41.00000000     41.00828360    
0.12207    40.15400000     40.37137366    
0.12298    39.13090000     39.75100198    
0.12390    38.62750000     39.13432606    
0.12481    38.61100000     38.53375732    
0.12572    38.15920000     37.93770038    
0.12664    37.23960000     37.34954807    
0.12755    36.69220000     36.77428569    
0.12847    36.70250000     36.20804919    
0.12938    35.82560000     35.65030820    
0.13029    35.26360000     35.10325337    
0.13121    34.78320000     34.56120098    
0.13212    33.75070000     34.03271138    
0.13304    33.60820000     33.50738391    
0.13395    33.12080000     32.99717034    
0.13487    32.33360000     32.48943489    
0.13578    32.06500000     31.99423145    
0.13669    31.70150000     31.50398619    
0.13761    30.95530000     31.02409163    
0.13852    30.55580000     30.55049302    
0.13944    30.15070000     30.08427578    
0.14035    29.50210000     29.62699142    
0.14127    29.02140000     29.17517019    
0.14218    28.32550000     28.73342458    
0.14309    28.01520000     28.29508338    
0.14401    28.02800000     27.86801987    
0.14492    27.71720000     27.44374904    
0.14584    27.17400000     27.03109360    
0.14675    26.58480000     26.62551574    
0.14766    26.39140000     26.22227258    
0.14858    25.51550000     25.82767020    
0.14949    25.13650000     25.43866157    
0.15041    24.79770000     25.05569378    
0.15132    24.84740000     24.67980110    
0.15224    24.01530000     24.30782928    
0.15315    23.67450000     23.94479782    
0.15406    23.57900000     23.58401307    
0.15498    23.40020000     23.23321834    
0.15589    22.18680000     22.88384396    
0.15681    22.11070000     22.54415401    
0.15772    22.22710000     22.21009987    
0.15863    22.01810000     21.87861203    
0.15955    21.44810000     21.55348430    
0.16046    20.86040000     21.23276757    
0.16138    20.54540000     20.91720727    
0.16229    20.04030000     20.60887210    
0.16321    19.75700000     20.30453006    
0.16412    19.72210000     20.00229061    
0.16503    19.44900000     19.70815984    
0.16595    19.15690000     19.41553949    
0.16686    19.23240000     19.13102658    
0.16778    18.80350000     18.85112613    
0.16869    18.17580000     18.57293299    
0.16961    17.81100000     18.30080882    
0.17052    17.86680000     18.03224061    
0.17143    17.48890000     17.76810178    
0.17235    17.28190000     17.50954862    
0.17326    17.44040000     17.25443420    
0.17418    17.23890000     17.00188275    
0.17509    16.73060000     16.75579389    
0.17600    16.35840000     16.51341803    
0.17692    15.87000000     16.27248603    
0.17783    15.44780000     16.03814950    
0.17875    15.39520000     15.80784161    
0.17966    15.38110000     15.57936370    
0.18058    15.26060000     15.35536551    
0.18149    14.71630000     15.13617699    
0.18241    15.12820000     14.91936342    
0.18332    15.01610000     14.70564917    
0.18423    14.26810000     14.49717599    
0.18515    14.03560000     14.29139219    
0.18606    14.24220000     14.08748972    
0.18698    13.87560000     13.88937634    
0.18789    13.52190000     13.69479781    
0.18881    13.40520000     13.50131717    
0.18972    13.34280000     13.31273482    
0.19063    13.10130000     13.12792083    
0.19155    12.74140000     12.94499667    
0.19246    12.57990000     12.76543471    
0.19338    12.40940000     12.58989881    
0.19429    12.22020000     12.41761438    
0.19520    11.76980000     12.24784519    
0.19612    11.64640000     12.07978650    
0.19703    11.34310000     11.91618582    
0.19795    11.41250000     11.75599056    
0.19886    11.62200000     11.59688554    
0.19978    11.48650000     11.44222781    
0.20069    11.42740000     11.29069074    
0.20160    11.10460000     11.14166966    
0.20252    11.07320000     10.99454176    
0.20343    10.77660000     10.85020347    
0.20435    10.44580000     10.70944081    
0.20526    10.42770000     10.57113516    
0.20617    10.45970000     10.43523390    
0.20709    10.47010000     10.30074658    
0.20800    10.34800000     10.17030754    
0.20892    10.12050000     10.04261217    
0.20983    9.93156000      9.91717857     
0.21075    9.78555000      9.79296191     
0.21166    9.48613000      9.67203525     
0.21257    9.61566000      9.55381069     
0.21349    9.53454000      9.43775047     
0.21440    9.30311000      9.32411655     
0.21532    9.05588000      9.21219807     
0.21623    8.96299000      9.10190382     
0.21715    8.89270000      8.99485331     
0.21806    9.10377000      8.88971139     
0.21897    9.19761000      8.78678305     
0.21989    9.04003000      8.68483274     
0.22080    9.20944000      8.58600697     
0.22172    8.85450000      8.48914652     
0.22263    8.52590000      8.39432567     
0.22354    8.28111000      8.30134572     
0.22446    8.23663000      8.21023650     
0.22537    8.48541000      8.12047348     
0.22629    8.04515000      8.03202040     
0.22720    7.98700000      7.94626251     
0.22812    7.82863000      7.86221403     
0.22903    7.20781000      7.77969203     
0.22995    7.04053000      7.69902121     
0.23086    7.73293000      7.61994281     
0.23177    7.92735000      7.54162071     
0.23269    7.73007000      7.46536307     
0.23360    7.59881000      7.39091386     
0.23452    7.82435000      7.31776492     
0.23543    7.39124000      7.24608468     
0.23634    7.03905000      7.17587183     
0.23726    6.73971000      7.10698840     
0.23817    7.07023000      7.03908412     
0.23909    7.35856000      6.97191680     
0.24000    7.01989000      6.90680942     
0.24091    6.77463000      6.84318036     
0.24183    7.06809000      6.78071644     
